Day,WastewaterLoad_PC,COVIDcases_PC
0,181.44,40
1,227.5,84
2,221.14,89
3,167.52,114
4,218.78,113
5,,114
6,,79
7,261.3,65
8,392.15,136
9,342.42,130
10,342.09,117
11,383.23,111
12,,109
13,,70
14,345.28,61
15,455.45,128
16,389.72,113
17,358.79,117
18,601.03,103
19,,107
20,,55
21,500.99,47
22,380.12,106
23,246.11,113
24,335,93
25,315.14,11
26,,71
27,,72
28,208.95,55
29,383.73,116
30,287.2,100
31,334.95,94
32,345.77,81
33,224.55,80
34,179.22,43
35,232.22,41
36,224.75,75
37,203.81,72
38,188.02,57
39,233.41,52
40,,51
41,201.05,29
42,271.2,26
43,472.67,50
44,198.72,46
45,231.85,39
46,156.89,37
47,,39
48,,24
49,171.8,17
50,,39
51,195.69,33
52,173.38,24
53,181.79,14
54,98.58,4
55,151.16,29
56,158.89,21
57,160.35,46
58,125.56,36
59,73.66,38
60,124.43,24
61,134.18,7
62,131.9,31
63,80.16,26
64,122.37,47
65,119.08,36
66,113.06,35
67,143.35,32
68,,28
69,,18
70,100.36,12
71,100.27,33
72,91.06,19
73,84.74,23
74,104.47,21
75,102.72,20
76,89.42,15
77,82.89,12
78,84.96,23
79,55.58,21
80,81.32,20
81,77.36,20
82,47.69,20
83,59.31,11
84,76.7,9
85,110.08,20
86,99.83,18
87,,19
88,63.36,17
89,63.31,16
90,78.23,11
91,22.07,9
92,52.79,17
93,84.83,19
94,36.06,18
95,33.08,15
96,66.1,16
97,47.24,10
98,54.24,6
99,86.86,14
100,51.92,14
101,30.74,15
102,44.11,14
103,41.2,13
104,34.41,9
105,24.5,7
106,34.4,12
107,26.4,15
108,23.36,15
109,,13
110,,12
111,50.63,9
112,47.51,8
113,52.72,15
114,33.59,14
115,28.96,14
116,31.73,13
117,29.97,14
118,32.43,8
119,41.13,7
120,34.83,14
121,43.72,14
122,43.28,14
123,24.89,15
124,37.85,13
125,34.23,9
126,32.15,10
127,38.33,17
128,135.99,17
129,135.09,16
130,34.92,16
131,192.66,16
132,45.01,9
133,41.57,9
134,38.12,21
135,49.19,19
136,50.34,20
137,42.24,20
138,37.67,20
139,85.93,15
140,44.96,15
141,62.63,27
142,54.74,26
143,64.96,28
144,69.17,28
145,64.83,28
146,73.44,19
147,105.96,17
148,85.17,34
149,82.76,33
150,88.44,38
151,88.33,36
152,90.28,35
153,118.15,25
154,105.01,12
155,51.33,45
156,161.29,40
157,106.25,41
158,101.14,39
159,95.67,38
160,103.11,25
161,97.2,23
162,86.51,40
163,96.45,38
164,88.2,40
165,100.47,39
166,93.39,32
167,74.51,21
168,68.92,19
169,103.19,35
170,77.11,32
171,87.43,33
172,126.43,29
173,94.48,27
174,80.55,17
175,71.83,20
176,84.8,33
177,74.9,30
178,73.49,29
179,77.45,28
180,72.51,28
181,55.75,16
182,57.88,17
183,108.25,27
184,58.36,24
185,65.55,23
186,41.64,21
187,59.69,18
188,63.55,11
189,43.94,9
190,51.42,17
191,50.76,15
192,73.77,19
193,33.52,13
194,47.74,12
195,39.92,7
196,49.02,8
197,48.93,14
198,33.18,13
199,27.6,10
200,28.77,10
201,34.47,9
202,27.05,5
203,22.35,5
204,23.8,8
205,23.97,8
206,26.01,7
207,86.59,5
208,32.68,5
209,23.52,3
210,26.07,3
211,12.63,2
212,23.84,6
213,23.24,5
214,19.74,5
215,20.14,5
216,18.91,3
217,25.35,2
218,16.96,4
219,11.44,4
220,14.29,3
221,14.93,2
222,11.59,3
223,12.23,2
224,13.11,1
225,13.8,3
226,13.03,3
227,8.8,3
228,13.98,3
229,11.77,1
230,32.18,2
231,14.2,2
232,7.13,2
233,,2
234,,2
235,10.14,3
236,16.21,3
237,6.91,1
238,7.03,2
239,13.45,2
240,8.6,2
241,10.53,3
242,7.58,3
243,11.5,2
244,12.49,2
245,12.14,1
246,9.08,3
247,12.98,4
248,13.21,4
249,15.83,4
250,20.31,4
251,27.66,3
252,23.46,3
253,21.41,5
254,18.4,5
255,25.66,5
256,29.46,7
257,20.98,6
258,27.89,3
259,22.34,5
260,24.97,8
261,38.28,9
262,26.02,10
263,40.51,10
264,46.02,11
265,48.89,7
266,59.14,8
267,43.17,12
268,54.24,12
269,62.1,15
270,59.2,15
271,71.43,15
272,104.11,10
273,74.81,11
274,85.25,20
275,76.44,18
276,66.19,20
277,70.55,19
278,84.03,18
279,88.34,12
280,72.05,13
281,63.69,20
282,75.57,25
283,95.11,24
284,68.87,22
285,73.66,22
286,59.56,14
287,160.79,16
288,79.65,26
289,70.56,23
290,76.67,26
291,85.41,25
292,134.09,25
293,108.11,17
294,84.62,16
295,78.08,29
296,79.41,26
297,85.07,25
298,114.2,23
299,101.77,21
300,93.55,16
301,91.88,16
302,81.43,28
303,81.99,29
304,104.76,29
305,95.37,28
306,87.93,27
307,80.35,18
308,86.73,16
309,92.77,10
310,89.07,38
311,139.92,33
312,96.23,30
313,94.8,29
314,108.35,16
315,102.19,17
316,81.83,35
317,87.25,33
318,76.89,32
319,108.8,34
320,111.75,29
321,119.42,16
322,108.23,18
323,111.81,37
324,107.5,33
325,,35
326,102.49,33
327,134.8,29
328,106.34,20
329,90.32,21
330,201.21,42
331,117.62,39
332,90.84,42
333,134.54,42
334,162.94,37
335,129.03,22
336,104.57,20
337,126.42,43
338,103.31,39
339,110.37,41
340,119.51,38
341,143.46,36
342,113.58,21
343,112.01,21
344,109.3,40
345,129.53,34
346,124.45,35
347,90.46,32
348,109.45,24
349,94.28,16
350,102.29,17
351,104.15,35
352,110.05,31
353,109.86,29
354,234.76,31
355,119.1,29
356,124.21,18
357,131.81,21
358,140.45,38
359,149.81,37
360,164.85,40
361,244.9,40
362,121.51,35
363,181.58,21
364,154.61,26
365,170.63,54
366,171.37,52
367,198.81,56
368,239.22,62
369,221.27,56
370,202.23,32
371,182.66,37
372,227.47,78
373,236.38,67
374,243.73,69
375,276.52,64
376,302.61,61
377,263.43,34
378,288.79,35
379,294.12,81
380,261.71,77
381,313.59,76
382,291.96,68
383,548.32,62
384,369.43,38
385,242.44,38
386,210.31,79
387,383.87,77
388,338.89,75
389,420.07,13
390,339.47,52
391,309.05,53
392,331.61,52
393,392.49,110
394,350.55,98
395,414.27,93
396,337.36,82
397,385.84,70
398,345.42,40
399,305.88,37
400,373.76,77
401,331.46,74
402,,69
403,362.43,56
404,332.08,43
405,335.51,27
406,278.1,33
407,352.16,67
408,347.95,64
409,567.09,63
410,309.26,57
411,291.44,52
412,232.13,35
413,307.26,39
414,325.41,89
415,364.9,95
416,411.11,118
417,487.56,125
418,468.55,42
419,546.78,17
420,590.83,95
421,601.64,217
422,754.23,254
423,739.73,276
424,859.9,257
425,955.49,112
426,759.36,51
427,688.02,140
428,827.52,369
429,944.49,388
430,1028.76,376
431,1047.49,344
432,910.38,274
433,855.82,139
434,1015.64,126
435,866.9,344
436,800.1,326
437,679.04,301
438,639.97,261
439,534.25,195
440,530.56,104
441,397.26,107
442,378.15,221
443,409.33,210
444,412.65,176
445,335.36,149
446,317.34,131
447,322.61,65
448,205.11,60
449,290.5,125
450,246.91,101
451,211.55,94
452,179.81,84
453,157.28,69
454,149.47,38
455,145.22,33
456,132.56,71
457,168.3,59
458,291.08,54
459,129.57,44
460,70.27,37
461,78.27,21
462,80.56,22
463,87.58,44
464,81.61,35
465,83.33,35
466,55.39,29
467,63.62,25
468,61.07,13
469,43.11,13
470,33.53,24
471,47.47,21
472,48.91,21
473,44.91,18
474,98.58,14
475,37.78,9
476,38.77,10
477,31.93,15
478,40.82,12
479,34.56,14
480,144.24,13
481,30.59,10
482,24.8,7
483,23.17,6
484,27.69,12
485,25.26,10
486,27.68,10
487,21.23,9
488,22.98,8
489,28.86,4
490,20.88,5
491,15.51,9
492,20.38,9
493,23.01,8
494,21.9,7
495,21.9,6
496,24.1,4
497,20.29,4
498,18.18,9
499,20.97,7
500,23.2,8
501,27.61,8
502,28.54,9
503,21.69,5
504,23.09,4
505,28.12,9
506,80.74,9
507,38.85,10
508,29.13,9
509,32.5,8
510,27.89,5
511,26.27,4
512,29.33,11
513,39.52,9
514,33.9,10
515,43.63,9
516,37.73,9
517,40.46,6
518,38.83,6
519,35.98,12
520,54.81,14
521,50.75,14
522,54.93,11
523,61.67,13
524,57.18,9
525,132.27,11
526,56.01,20
527,69.11,19
528,103.28,23
529,165.52,19
530,105.94,18
531,67.07,13
532,479.67,7
533,91.96,28
534,105.68,27
535,148.23,30
536,158.84,27
537,133.64,24
538,124.03,14
539,273.42,15
540,295.46,42
541,184.2,38
542,204.02,38
543,323.59,37
544,187.25,36
545,190.7,23
546,190.56,23
547,215.84,51
548,205.83,53
549,324.37,51
550,270.38,47
551,260.88,45
552,241.14,25
553,216.87,27
554,230.75,61
555,757.36,55
556,297.99,53
557,280.01,45
558,246.07,41
559,394.13,25
560,297.76,22
561,231.95,47
562,229.08,48
563,251.53,43
564,213.19,40
565,266,35
566,198.55,19
567,189.59,23
568,204.83,43
569,297.37,46
570,227.45,43
571,226.24,41
572,262.19,35
573,213.13,18
574,182.91,21
575,173.66,12
576,215.01,55
577,199.26,46
578,217.6,36
579,161.06,30
580,186.52,19
581,183.27,19
582,186.37,40
583,165.76,36
584,164.06,37
585,170.7,31
586,167.18,33
587,175.47,19
588,166.82,20
589,189.51,37
590,167.73,34
591,191.6,34
592,210.38,30
593,185.26,27
594,186.05,20
595,282.29,18
596,154.68,32
597,185.29,33
598,260.27,32
599,240.07,32
600,188.92,27
601,236.2,17
602,167.14,18
603,163.46,37
604,180.85,35
605,188.71,33
606,216.03,30
607,223.23,27
608,195.32,18
609,200.56,13
610,165.69,8
611,185.67,41
612,198.55,36
613,219.27,29
614,253.52,28
615,161.77,17
616,194.06,19
617,152.98,31
618,201.08,31
619,176.6,29
620,168.07,31
621,153.56,27
622,142.34,17
623,171.24,18
624,245.55,33
625,186.55,33
626,258.74,32
627,192.37,27
628,153.3,26
629,185.05,17
630,162.3,18
631,182.34,32
632,170.75,29
633,189.59,33
634,186.1,29
635,172.03,26
636,165.24,17
637,179.86,17
638,166.19,33
639,223.24,33
640,196.65,31
641,167.78,23
642,157.72,26
643,145.39,16
644,160.55,17
645,160.18,30
646,165.71,32
647,,32
648,182.25,30
649,183.07,23
650,142.24,17
651,165.85,16
652,179.61,32
653,170.66,29
654,207.52,29
655,185.52,25
656,206.62,24
657,144.24,15
658,140.29,14
659,178.49,28
660,158.35,26
661,155.68,26
662,161.18,21
663,150.43,19
664,126.14,12
665,126,12
666,120.45,22
667,141.24,23
668,134.88,20
669,144.84,17
670,138.7,18
671,98.32,12
672,121.96,8
673,106.77,7
674,186.43,27
675,153.63,19
676,180.95,18
677,310.49,17
678,155.69,9
679,113.42,7
680,107.2,2
