obs_id,train_id,class,letter
id_000001,train,6,g
id_000002,train,9,j
id_000003,valid,14,o
id_000004,test,NA,NA
id_000005,train,5,f
id_000006,train,23,x
id_000007,valid,24,y
id_000008,test,NA,NA
id_000009,train,16,q
id_000010,train,1,b
id_000011,valid,5,f
id_000012,test,NA,NA
id_000013,train,17,r
id_000014,train,9,j
id_000015,valid,20,u
id_000016,test,NA,NA
id_000017,train,18,s
id_000018,train,25,z
id_000019,valid,9,j
id_000020,test,NA,NA
id_000021,train,24,y
id_000022,train,5,f
id_000023,valid,16,q
id_000024,test,NA,NA
id_000025,train,6,g
id_000026,train,10,k
id_000027,valid,0,a
id_000028,test,NA,NA
id_000029,train,22,w
id_000030,train,8,i
id_000031,valid,12,m
id_000032,test,NA,NA
id_000033,train,12,m
id_000034,train,4,e
id_000035,valid,21,v
id_000036,test,NA,NA
id_000037,train,20,u
id_000038,train,2,c
id_000039,valid,18,s
id_000040,test,NA,NA
id_000041,train,21,v
id_000042,train,16,q
id_000043,valid,20,u
id_000044,test,NA,NA
id_000045,train,13,n
id_000046,train,20,u
id_000047,valid,0,a
id_000048,test,NA,NA
id_000049,train,19,t
id_000050,train,18,s
id_000051,valid,12,m
id_000052,test,NA,NA
id_000053,train,11,l
id_000054,train,6,g
id_000055,valid,1,b
id_000056,test,NA,NA
id_000057,train,8,i
id_000058,train,13,n
id_000059,valid,17,r
id_000060,test,NA,NA
id_000061,train,23,x
id_000062,train,7,h
id_000063,valid,11,l
id_000064,test,NA,NA
id_000065,train,16,q
id_000066,train,6,g
id_000067,valid,12,m
id_000068,test,NA,NA
id_000069,train,2,c
id_000070,train,22,w
id_000071,valid,8,i
id_000072,test,NA,NA
id_000073,train,9,j
id_000074,train,8,i
id_000075,valid,12,m
id_000076,test,NA,NA
id_000077,train,22,w
id_000078,train,10,k
id_000079,valid,20,u
id_000080,test,NA,NA
id_000081,train,11,l
id_000082,train,18,s
id_000083,valid,10,k
id_000084,test,NA,NA
id_000085,train,19,t
id_000086,train,5,f
id_000087,valid,18,s
id_000088,test,NA,NA
id_000089,train,6,g
id_000090,train,3,d
id_000091,valid,6,g
id_000092,test,NA,NA
id_000093,train,16,q
id_000094,train,22,w
id_000095,valid,20,u
id_000096,test,NA,NA
id_000097,train,11,l
id_000098,train,10,k
id_000099,valid,21,v
id_000100,test,NA,NA
id_000101,train,17,r
id_000102,train,9,j
id_000103,valid,7,h
id_000104,test,NA,NA
id_000105,train,16,q
id_000106,train,5,f
id_000107,valid,3,d
id_000108,test,NA,NA
id_000109,train,24,y
id_000110,train,15,p
id_000111,valid,25,z
id_000112,test,NA,NA
id_000113,train,9,j
id_000114,train,11,l
id_000115,valid,3,d
id_000116,test,NA,NA
id_000117,train,18,s
id_000118,train,2,c
id_000119,valid,11,l
id_000120,test,NA,NA
id_000121,train,25,z
id_000122,train,12,m
id_000123,valid,12,m
id_000124,test,NA,NA
id_000125,train,19,t
id_000126,train,11,l
id_000127,valid,13,n
id_000128,test,NA,NA
id_000129,train,5,f
id_000130,train,15,p
id_000131,valid,14,o
id_000132,test,NA,NA
id_000133,train,0,a
id_000134,train,16,q
id_000135,valid,24,y
id_000136,test,NA,NA
id_000137,train,14,o
id_000138,train,13,n
id_000139,valid,25,z
id_000140,test,NA,NA
id_000141,train,17,r
id_000142,train,15,p
id_000143,valid,6,g
id_000144,test,NA,NA
id_000145,train,18,s
id_000146,train,11,l
id_000147,valid,4,e
id_000148,test,NA,NA
id_000149,train,2,c
id_000150,train,22,w
id_000151,valid,15,p
id_000152,test,NA,NA
id_000153,train,8,i
id_000154,train,11,l
id_000155,valid,12,m
id_000156,test,NA,NA
id_000157,train,13,n
id_000158,train,1,b
id_000159,valid,7,h
id_000160,test,NA,NA
id_000161,train,7,h
id_000162,train,23,x
id_000163,valid,11,l
id_000164,test,NA,NA
id_000165,train,22,w
id_000166,train,10,k
id_000167,valid,1,b
id_000168,test,NA,NA
id_000169,train,18,s
id_000170,train,8,i
id_000171,valid,16,q
id_000172,test,NA,NA
id_000173,train,22,w
id_000174,train,10,k
id_000175,valid,9,j
id_000176,test,NA,NA
id_000177,train,16,q
id_000178,train,19,t
id_000179,valid,15,p
id_000180,test,NA,NA
id_000181,train,7,h
id_000182,train,4,e
id_000183,valid,23,x
id_000184,test,NA,NA
id_000185,train,22,w
id_000186,train,4,e
id_000187,valid,19,t
id_000188,test,NA,NA
id_000189,train,24,y
id_000190,train,14,o
id_000191,valid,18,s
id_000192,test,NA,NA
id_000193,train,2,c
id_000194,train,24,y
id_000195,valid,7,h
id_000196,test,NA,NA
id_000197,train,2,c
id_000198,train,21,v
id_000199,valid,8,i
id_000200,test,NA,NA
id_000201,train,6,g
id_000202,train,5,f
id_000203,valid,13,n
id_000204,test,NA,NA
id_000205,train,4,e
id_000206,train,13,n
id_000207,valid,14,o
id_000208,test,NA,NA
id_000209,train,6,g
id_000210,train,18,s
id_000211,valid,24,y
id_000212,test,NA,NA
id_000213,train,19,t
id_000214,train,24,y
id_000215,valid,21,v
id_000216,test,NA,NA
id_000217,train,16,q
id_000218,train,24,y
id_000219,valid,24,y
id_000220,test,NA,NA
id_000221,train,6,g
id_000222,train,4,e
id_000223,valid,8,i
id_000224,test,NA,NA
id_000225,train,23,x
id_000226,train,13,n
id_000227,valid,6,g
id_000228,test,NA,NA
id_000229,train,10,k
id_000230,train,22,w
id_000231,valid,9,j
id_000232,test,NA,NA
id_000233,train,9,j
id_000234,train,16,q
id_000235,valid,10,k
id_000236,test,NA,NA
id_000237,train,17,r
id_000238,train,14,o
id_000239,valid,11,l
id_000240,test,NA,NA
id_000241,train,7,h
id_000242,train,15,p
id_000243,valid,23,x
id_000244,test,NA,NA
id_000245,train,10,k
id_000246,train,5,f
id_000247,valid,11,l
id_000248,test,NA,NA
id_000249,train,11,l
id_000250,train,24,y
id_000251,valid,19,t
id_000252,test,NA,NA
id_000253,train,12,m
id_000254,train,15,p
id_000255,valid,12,m
id_000256,test,NA,NA
id_000257,train,6,g
id_000258,train,12,m
id_000259,valid,9,j
id_000260,test,NA,NA
id_000261,train,13,n
id_000262,train,8,i
id_000263,valid,7,h
id_000264,test,NA,NA
id_000265,train,18,s
id_000266,train,4,e
id_000267,valid,1,b
id_000268,test,NA,NA
id_000269,train,16,q
id_000270,train,4,e
id_000271,valid,1,b
id_000272,test,NA,NA
id_000273,train,9,j
id_000274,train,4,e
id_000275,valid,7,h
id_000276,test,NA,NA
id_000277,train,6,g
id_000278,train,4,e
id_000279,valid,12,m
id_000280,test,NA,NA
id_000281,train,0,a
id_000282,train,13,n
id_000283,valid,22,w
id_000284,test,NA,NA
id_000285,train,1,b
id_000286,train,3,d
id_000287,valid,8,i
id_000288,test,NA,NA
id_000289,train,3,d
id_000290,train,5,f
id_000291,valid,5,f
id_000292,test,NA,NA
id_000293,train,25,z
id_000294,train,8,i
id_000295,valid,13,n
id_000296,test,NA,NA
id_000297,train,2,c
id_000298,train,3,d
id_000299,valid,1,b
id_000300,test,NA,NA
id_000301,train,17,r
id_000302,train,2,c
id_000303,valid,12,m
id_000304,test,NA,NA
id_000305,train,9,j
id_000306,train,25,z
id_000307,valid,4,e
id_000308,test,NA,NA
id_000309,train,1,b
id_000310,train,10,k
id_000311,valid,3,d
id_000312,test,NA,NA
id_000313,train,21,v
id_000314,train,18,s
id_000315,valid,6,g
id_000316,test,NA,NA
id_000317,train,2,c
id_000318,train,9,j
id_000319,valid,25,z
id_000320,test,NA,NA
id_000321,train,17,r
id_000322,train,8,i
id_000323,valid,10,k
id_000324,test,NA,NA
id_000325,train,22,w
id_000326,train,24,y
id_000327,valid,21,v
id_000328,test,NA,NA
id_000329,train,6,g
id_000330,train,19,t
id_000331,valid,25,z
id_000332,test,NA,NA
id_000333,train,10,k
id_000334,train,21,v
id_000335,valid,2,c
id_000336,test,NA,NA
id_000337,train,11,l
id_000338,train,4,e
id_000339,valid,15,p
id_000340,test,NA,NA
id_000341,train,25,z
id_000342,train,4,e
id_000343,valid,14,o
id_000344,test,NA,NA
id_000345,train,17,r
id_000346,train,6,g
id_000347,valid,12,m
id_000348,test,NA,NA
id_000349,train,9,j
id_000350,train,18,s
id_000351,valid,12,m
id_000352,test,NA,NA
id_000353,train,20,u
id_000354,train,10,k
id_000355,valid,25,z
id_000356,test,NA,NA
id_000357,train,21,v
id_000358,train,2,c
id_000359,valid,22,w
id_000360,test,NA,NA
id_000361,train,2,c
id_000362,train,8,i
id_000363,valid,21,v
id_000364,test,NA,NA
id_000365,train,15,p
id_000366,train,21,v
id_000367,valid,1,b
id_000368,test,NA,NA
id_000369,train,18,s
id_000370,train,12,m
id_000371,valid,11,l
id_000372,test,NA,NA
id_000373,train,24,y
id_000374,train,5,f
id_000375,valid,5,f
id_000376,test,NA,NA
id_000377,train,8,i
id_000378,train,22,w
id_000379,valid,4,e
id_000380,test,NA,NA
id_000381,train,11,l
id_000382,train,14,o
id_000383,valid,17,r
id_000384,test,NA,NA
id_000385,train,6,g
id_000386,train,6,g
id_000387,valid,20,u
id_000388,test,NA,NA
id_000389,train,2,c
id_000390,train,24,y
id_000391,valid,3,d
id_000392,test,NA,NA
id_000393,train,23,x
id_000394,train,13,n
id_000395,valid,4,e
id_000396,test,NA,NA
id_000397,train,17,r
id_000398,train,8,i
id_000399,valid,9,j
id_000400,test,NA,NA
id_000401,train,17,r
id_000402,train,4,e
id_000403,valid,24,y
id_000404,test,NA,NA
id_000405,train,24,y
id_000406,train,18,s
id_000407,valid,9,j
id_000408,test,NA,NA
id_000409,train,0,a
id_000410,train,24,y
id_000411,valid,25,z
id_000412,test,NA,NA
id_000413,train,19,t
id_000414,train,20,u
id_000415,valid,18,s
id_000416,test,NA,NA
id_000417,train,12,m
id_000418,train,7,h
id_000419,valid,18,s
id_000420,test,NA,NA
id_000421,train,11,l
id_000422,train,13,n
id_000423,valid,17,r
id_000424,test,NA,NA
id_000425,train,8,i
id_000426,train,10,k
id_000427,valid,2,c
id_000428,test,NA,NA
id_000429,train,21,v
id_000430,train,22,w
id_000431,valid,24,y
id_000432,test,NA,NA
id_000433,train,9,j
id_000434,train,13,n
id_000435,valid,2,c
id_000436,test,NA,NA
id_000437,train,19,t
id_000438,train,1,b
id_000439,valid,12,m
id_000440,test,NA,NA
id_000441,train,1,b
id_000442,train,7,h
id_000443,valid,12,m
id_000444,test,NA,NA
id_000445,train,6,g
id_000446,train,10,k
id_000447,valid,9,j
id_000448,test,NA,NA
id_000449,train,3,d
id_000450,train,1,b
id_000451,valid,24,y
id_000452,test,NA,NA
id_000453,train,9,j
id_000454,train,4,e
id_000455,valid,1,b
id_000456,test,NA,NA
id_000457,train,14,o
id_000458,train,25,z
id_000459,valid,15,p
id_000460,test,NA,NA
id_000461,train,4,e
id_000462,train,12,m
id_000463,valid,0,a
id_000464,test,NA,NA
id_000465,train,6,g
id_000466,train,24,y
id_000467,valid,18,s
id_000468,test,NA,NA
id_000469,train,12,m
id_000470,train,17,r
id_000471,valid,11,l
id_000472,test,NA,NA
id_000473,train,18,s
id_000474,train,10,k
id_000475,valid,3,d
id_000476,test,NA,NA
id_000477,train,22,w
id_000478,train,11,l
id_000479,valid,12,m
id_000480,test,NA,NA
id_000481,train,19,t
id_000482,train,4,e
id_000483,valid,22,w
id_000484,test,NA,NA
id_000485,train,15,p
id_000486,train,13,n
id_000487,valid,4,e
id_000488,test,NA,NA
id_000489,train,22,w
id_000490,train,3,d
id_000491,valid,0,a
id_000492,test,NA,NA
id_000493,train,7,h
id_000494,train,4,e
id_000495,valid,10,k
id_000496,test,NA,NA
id_000497,train,11,l
id_000498,train,13,n
id_000499,valid,21,v
id_000500,test,NA,NA
id_000501,train,14,o
id_000502,train,17,r
id_000503,valid,17,r
id_000504,test,NA,NA
id_000505,train,12,m
id_000506,train,25,z
id_000507,valid,10,k
id_000508,test,NA,NA
id_000509,train,19,t
id_000510,train,13,n
id_000511,valid,22,w
id_000512,test,NA,NA
id_000513,train,0,a
id_000514,train,18,s
id_000515,valid,18,s
id_000516,test,NA,NA
id_000517,train,16,q
id_000518,train,14,o
id_000519,valid,8,i
id_000520,test,NA,NA
id_000521,train,21,v
id_000522,train,18,s
id_000523,valid,9,j
id_000524,test,NA,NA
id_000525,train,10,k
id_000526,train,24,y
id_000527,valid,20,u
id_000528,test,NA,NA
id_000529,train,24,y
id_000530,train,25,z
id_000531,valid,15,p
id_000532,test,NA,NA
id_000533,train,8,i
id_000534,train,7,h
id_000535,valid,3,d
id_000536,test,NA,NA
id_000537,train,9,j
id_000538,train,8,i
id_000539,valid,4,e
id_000540,test,NA,NA
id_000541,train,10,k
id_000542,train,24,y
id_000543,valid,16,q
id_000544,test,NA,NA
id_000545,train,5,f
id_000546,train,2,c
id_000547,valid,25,z
id_000548,test,NA,NA
id_000549,train,14,o
id_000550,train,18,s
id_000551,valid,22,w
id_000552,test,NA,NA
id_000553,train,0,a
id_000554,train,23,x
id_000555,valid,19,t
id_000556,test,NA,NA
id_000557,train,2,c
id_000558,train,1,b
id_000559,valid,21,v
id_000560,test,NA,NA
id_000561,train,16,q
id_000562,train,3,d
id_000563,valid,25,z
id_000564,test,NA,NA
id_000565,train,23,x
id_000566,train,18,s
id_000567,valid,6,g
id_000568,test,NA,NA
id_000569,train,7,h
id_000570,train,24,y
id_000571,valid,4,e
id_000572,test,NA,NA
id_000573,train,6,g
id_000574,train,2,c
id_000575,valid,21,v
id_000576,test,NA,NA
id_000577,train,17,r
id_000578,train,10,k
id_000579,valid,21,v
id_000580,test,NA,NA
id_000581,train,9,j
id_000582,train,24,y
id_000583,valid,16,q
id_000584,test,NA,NA
id_000585,train,15,p
id_000586,train,10,k
id_000587,valid,1,b
id_000588,test,NA,NA
id_000589,train,24,y
id_000590,train,18,s
id_000591,valid,14,o
id_000592,test,NA,NA
id_000593,train,20,u
id_000594,train,16,q
id_000595,valid,21,v
id_000596,test,NA,NA
id_000597,train,12,m
id_000598,train,12,m
id_000599,valid,9,j
id_000600,test,NA,NA
id_000601,train,21,v
id_000602,train,24,y
id_000603,valid,3,d
id_000604,test,NA,NA
id_000605,train,25,z
id_000606,train,25,z
id_000607,valid,9,j
id_000608,test,NA,NA
id_000609,train,24,y
id_000610,train,2,c
id_000611,valid,24,y
id_000612,test,NA,NA
id_000613,train,13,n
id_000614,train,13,n
id_000615,valid,18,s
id_000616,test,NA,NA
id_000617,train,3,d
id_000618,train,8,i
id_000619,valid,16,q
id_000620,test,NA,NA
id_000621,train,22,w
id_000622,train,5,f
id_000623,valid,13,n
id_000624,test,NA,NA
id_000625,train,8,i
id_000626,train,16,q
id_000627,valid,6,g
id_000628,test,NA,NA
id_000629,train,12,m
id_000630,train,24,y
id_000631,valid,22,w
id_000632,test,NA,NA
id_000633,train,8,i
id_000634,train,21,v
id_000635,valid,11,l
id_000636,test,NA,NA
id_000637,train,2,c
id_000638,train,1,b
id_000639,valid,17,r
id_000640,test,NA,NA
id_000641,train,23,x
id_000642,train,7,h
id_000643,valid,24,y
id_000644,test,NA,NA
id_000645,train,20,u
id_000646,train,5,f
id_000647,valid,0,a
id_000648,test,NA,NA
