date,positiveIncrease
3/7/21,4024
3/6/21,4587
3/5/21,5876
3/4/21,5997
3/3/21,5860
3/2/21,7047
3/1/21,1664
2/28/21,5385
2/27/21,5316
2/26/21,5783
2/25/21,6519
2/24/21,6923
2/23/21,5483
2/22/21,4037
2/21/21,4935
2/20/21,7129
2/19/21,6536
2/18/21,5030
2/17/21,7185
2/16/21,6165
2/15/21,3573
2/14/21,5328
2/13/21,7377
2/12/21,7437
2/11/21,8354
2/10/21,7405
2/9/21,6911
2/8/21,5599
2/7/21,6468
2/6/21,7345
2/5/21,11171
2/4/21,8434
2/3/21,6694
2/2/21,10332
2/1/21,5600
1/31/21,7604
1/30/21,14654
1/29/21,10745
1/28/21,11190
1/26/21,9466
1/25/21,8542
1/24/21,9335
1/23/21,12104
1/22/21,13407
1/21/21,12602
1/20/21,11825
1/19/21,9571
1/18/21,7877
1/17/21,10737
1/16/21,11886
1/15/21,16415
1/14/21,13381
1/13/21,13664
1/12/21,14526
1/11/21,11338
1/10/21,12041
1/9/21,15069
1/8/21,19136
1/7/21,19334
1/6/21,17262
1/5/21,15556
1/4/21,10935
1/3/21,10228
1/2/21,30531
1/1/21,0
12/31/20,16827
12/30/20,13638
12/29/20,11748
12/28/20,8040
12/27/20,7157
12/26/20,16588
12/25/20,0
12/24/20,12770
12/23/20,11100
12/22/20,10204
12/21/20,10907
12/20/20,8140
12/19/20,11456
12/17/20,13102
12/16/20,11282
12/15/20,9296
12/14/20,8343
12/13/20,8762
12/12/20,10385
12/11/20,11409
12/10/20,11071
12/9/20,9411
12/7/20,7537
12/6/20,8175
12/5/20,10198
12/4/20,9898
12/3/20,10656
12/2/20,9890
12/1/20,8540
11/30/20,6426
11/29/20,7131
11/28/20,6062
11/27/20,16795
11/26/20,0
11/25/20,8126
11/24/20,8102
11/23/20,6114
11/22/20,6374
11/21/20,8175
11/20/20,8831
11/19/20,8882
11/18/20,7727
11/17/20,7285
11/16/20,4530
11/15/20,9820
11/14/20,4405
11/13/20,6760
11/12/20,5504
11/11/20,5669
11/10/20,4282
11/9/20,3845
11/8/20,6619
11/7/20,4380
11/6/20,5150
11/5/20,6120
11/4/20,4332
11/3/20,4553
11/2/20,4569
11/1/20,4805
10/31/20,2283
10/30/20,5383
10/29/20,4111
10/28/20,4005
10/27/20,4226
10/25/20,2348
10/24/20,4381
10/23/20,3618
10/22/20,5461
10/21/20,2106
10/20/20,3556
10/19/20,1691
10/18/20,2474
10/17/20,3968
10/16/20,3365
10/15/20,3286
10/14/20,2808
10/13/20,2657
10/12/20,1519
10/11/20,5414
10/10/20,0
10/9/20,2853
10/8/20,3246
10/7/20,2544
10/6/20,2201
10/5/20,1406
10/4/20,1786
10/3/20,2753
10/2/20,2610
10/1/20,2551
9/30/20,1880
9/29/20,3209
9/28/20,728
9/27/20,1847
9/26/20,2731
9/25/20,2809
9/23/20,2594
9/22/20,2414
9/21/20,1671
9/20/20,2497
9/19/20,3510
9/18/20,3177
9/17/20,3273
9/16/20,2288
9/15/20,2743
9/14/20,1718
9/13/20,2395
9/12/20,3168
9/11/20,3604
9/10/20,2537
9/9/20,2006
9/8/20,1797
9/7/20,1812
9/6/20,2513
9/5/20,3593
9/4/20,3147
9/3/20,3487
9/2/20,2310
9/1/20,7487
8/31/20,1876
8/30/20,2547
8/29/20,3132
8/28/20,3732
